epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.2455378,0.25653446,0.4532517,0.71484375,0.6015625,1646733650,46
1,0.15932634,0.55269516,1.2496053,0.87109375,0.38671875,1646733650,46
2,0.15689863,0.26164263,0.44052473,0.85546875,0.3125,1646733650,46
3,0.15051529,0.23163919,0.3140891,0.66796875,0.609375,1646733650,46
4,0.15922555,0.94536185,0.6005159,0.0546875,0.828125,1646733650,46
