epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.2455378,0.25653446,0.4532517,0.71484375,0.6015625,1646731530,74
1,0.15932639,0.5526936,1.2496084,0.87109375,0.38671875,1646731530,74
2,0.15689453,0.26160055,0.4403945,0.85546875,0.3125,1646731531,75
3,0.15053475,0.23162735,0.31391096,0.6640625,0.609375,1646731531,75
4,0.16146943,1.0570877,0.650212,0.02734375,0.89453125,1646731531,75
