epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.24553773,0.2565414,0.45324656,0.71484375,0.6015625,1646734259,47
1,0.15932938,0.55417633,1.251403,0.87109375,0.38671875,1646734260,47
2,0.15690818,0.26136655,0.43692,0.84765625,0.32421875,1646734260,47
3,0.15050356,0.23164856,0.31450757,0.671875,0.60546875,1646734260,47
4,0.16124961,1.0711014,0.63691634,0.03125,0.91796875,1646734260,47
