epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.24485242,0.25731838,0.45310166,0.6953125,0.61328125,1646768574,43
1,0.15974492,0.3604242,0.8320452,0.828125,0.44921875,1646768574,43
2,0.1574063,0.30633563,0.42168614,0.56640625,0.515625,1646768575,43
3,0.14938223,0.2315762,0.3455249,0.734375,0.5390625,1646768575,43
4,0.16836226,0.6515351,1.0218813,0.8671875,0.03125,1646768575,43
