epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.2455378,0.25653446,0.4532516,0.71484375,0.6015625,1646735068,45
1,0.15932637,0.5526974,1.249611,0.87109375,0.38671875,1646735068,46
2,0.15689549,0.26163882,0.44045016,0.85546875,0.3125,1646735068,46
3,0.15053251,0.2316647,0.31414142,0.66796875,0.609375,1646735069,46
4,0.15909861,0.92625135,0.5849,0.05859375,0.8125,1646735069,46
0,0.81888485,1.4710951,-97673.36,-97673.36,-107998.984,0.0,0.0,16689.578,-463998.2,-95954.836,-96453.32,-97001.82,-190556.88,-190564.25,-190553.3,3337.9155,-92799.64,1413.888,17487.324,13.362406,192549.42,1006907600.0,1006426900.0,-2.1840806,1000.0,0.022391531634981192,64.51826667785645,8.612559080123901,73.13082575798035,1646735144,121
1,1.2655548,-6.384267,-993816.3,-993816.3,-1098223.8,0.0,0.0,324003.12,-1767858.1,-952330.8,-958196.3,-985536.6,-1347626.2,-1347540.0,-1347517.0,64800.625,-353571.62,27662.824,95877.68,33.108192,1417419.2,80526300000.0,80524210000.0,-2.1840806,1000.0,0.022391531634981192,4.968708038330078,7.62939453125e-06,4.968715667724609,1646735149,126
2,1.8255067,-15.3707075,-3119089.0,-3119089.0,-3438314.8,0.0,0.0,1269711.1,-3962827.5,-2972775.5,-2972794.8,-3089551.0,-3911948.8,-3911867.2,-3911827.2,253942.22,-792565.5,111687.945,275345.66,31.53878,4187245.0,779026900000.0,779021700000.0,-2.1840806,1000.0,0.022391531634981192,4.968069314956665,1.621246337890625e-05,4.968085527420044,1646735154,131
3,2.5591047,-30.015697,-6634403.0,-6634403.0,-7403651.0,0.0,0.0,3116900.5,-5863112.5,-6261029.5,-6270722.5,-6566635.0,-7807560.0,-7807369.5,-7807301.5,623380.1,-1172622.5,280121.94,533959.5,37.943233,8429517.0,3867304500000.0,3867295600000.0,-2.1840806,1000.0,0.022391531634981192,4.968771934509277,1.3828277587890625e-05,4.968785762786865,1646735159,136
