epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.2455378,0.2565345,0.4532517,0.71484375,0.6015625,1646734801,45
1,0.15932634,0.55271727,1.2495925,0.87109375,0.38671875,1646734801,45
2,0.15690082,0.26159492,0.4409247,0.85546875,0.3125,1646734801,45
3,0.15050346,0.2316153,0.31319848,0.6640625,0.609375,1646734801,45
4,0.16153279,1.0752844,0.66622657,0.02734375,0.890625,1646734801,45
