epoch,sac/alpha,sac/alpha_loss,sac/average_qf1,sac/average_qf2,sac/average_target_q,sac/cql/alpha_prime,sac/cql/alpha_prime_loss,sac/cql/cql_min_qf1_loss,sac/cql/cql_min_qf2_loss,sac/cql/cql_q1_current_actions,sac/cql/cql_q1_next_actions,sac/cql/cql_q1_rand,sac/cql/cql_q2_current_actions,sac/cql/cql_q2_next_actions,sac/cql/cql_q2_rand,sac/cql/cql_qf1_diff,sac/cql/cql_qf2_diff,sac/cql/cql_std_q1,sac/cql/cql_std_q2,sac/log_pi,sac/policy_loss,sac/qf1_loss,sac/qf2_loss,average_return,average_traj_length,average_normalizd_return,train_time,eval_time,epoch_time,_timestamp,_runtime
0,0.83537906,-0.22356859,17.350567,17.268871,13.283515,0.0,0.0,-15.119151,-16.086227,15.736339,1.5585362,-3.314116,15.448532,1.9259074,-2.5529687,-3.0238302,-3.2172456,9.034233,8.514809,4.7570524,-11.373637,-5.137349,-5.094717,2085.7673,1000.0,0.19056883892797563,220.79687404632568,3.10684871673584,223.90372276306152,1646687921,247
1,0.77942455,-0.08698944,27.100834,26.982445,23.526417,0.0,0.0,-20.449528,-20.706789,25.876347,8.861862,1.9161144,25.722706,9.223912,2.6586092,-4.0899057,-4.141358,11.090538,10.600093,5.650924,-20.753206,-9.109681,-9.670787,2085.7673,1000.0,0.19056883892797563,122.82121300697327,2.4080276489257812e-05,122.82123708724976,1646688044,369
2,0.7911897,-0.09032783,36.307068,36.236145,33.258923,0.0,0.0,-22.122793,-21.77786,35.002743,15.458353,7.5157166,34.97724,16.355024,8.736974,-4.4245586,-4.355572,12.705839,12.060092,5.6143417,-29.910221,-10.04277,-9.901966,2085.7673,1000.0,0.19056883892797563,113.78535604476929,3.361701965332031e-05,113.78538966178894,1646688158,483
3,0.84985226,-0.014541801,45.724907,45.695606,42.050274,0.0,0.0,-23.952023,-24.307693,44.19108,22.840141,14.123595,44.111855,23.416132,15.23186,-4.7904043,-4.861539,13.953712,13.374115,5.910618,-38.52336,-11.644311,-12.662882,2085.7673,1000.0,0.19056883892797563,120.31802940368652,2.5272369384765625e-05,120.31805467605591,1646688278,603
