epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.2455378,0.25653446,0.45325172,0.71484375,0.6015625,1646734118,46
1,0.15932637,0.552693,1.2496046,0.87109375,0.38671875,1646734118,46
2,0.15689549,0.26163894,0.4404483,0.85546875,0.3125,1646734118,46
3,0.15053251,0.23167408,0.3143673,0.66796875,0.609375,1646734118,46
4,0.15922418,0.93761677,0.5942524,0.0546875,0.81640625,1646734118,46
