epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.2455378,0.25653452,0.4532517,0.71484375,0.6015625,1646732380,107
1,0.15932637,0.55269325,1.2496051,0.87109375,0.38671875,1646732380,107
2,0.15689549,0.26163912,0.44043574,0.85546875,0.3125,1646732380,108
3,0.15053095,0.23165095,0.31379852,0.66796875,0.609375,1646732381,108
4,0.15922996,0.9224999,0.58145815,0.05859375,0.8125,1646732381,108
