epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.2455378,0.25653446,0.45325145,0.71484375,0.6015625,1646731724,65
1,0.15932634,0.5526981,1.2496107,0.87109375,0.38671875,1646731724,65
2,0.15689865,0.26163387,0.44046247,0.85546875,0.3125,1646731724,66
3,0.15051311,0.23165408,0.31393933,0.66796875,0.609375,1646731724,66
4,0.1590693,0.9361262,0.59439456,0.0546875,0.81640625,1646731725,66
