epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.2455378,0.25653446,0.4532517,0.71484375,0.6015625,1646731865,98
1,0.15932637,0.5526957,1.2496082,0.87109375,0.38671875,1646731865,98
2,0.15689549,0.26163903,0.4404374,0.85546875,0.3125,1646731866,99
3,0.15053095,0.23164022,0.31366277,0.66796875,0.609375,1646731866,99
4,0.15938494,0.9420697,0.59494144,0.0546875,0.82421875,1646731866,99
