epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.2455378,0.2565345,0.45325175,0.71484375,0.6015625,1646734987,45
1,0.15932639,0.55269086,1.249602,0.87109375,0.38671875,1646734987,46
2,0.15689549,0.2616391,0.440447,0.85546875,0.3125,1646734987,46
3,0.15053084,0.23167394,0.31440717,0.66796875,0.609375,1646734987,46
4,0.15925306,0.93374115,0.59150726,0.0546875,0.81640625,1646734987,46
