epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.2455378,0.25653446,0.45325163,0.71484375,0.6015625,1646732139,108
1,0.15932639,0.55269253,1.2496046,0.87109375,0.38671875,1646732139,108
2,0.15689528,0.26161486,0.4409833,0.85546875,0.3125,1646732139,108
3,0.15053214,0.2316087,0.31320965,0.6640625,0.609375,1646732139,108
4,0.15908022,0.9295582,0.59248483,0.0546875,0.81640625,1646732140,109
